Ref	Test1	Test2	Asc_min	Asc_max	Nr_sites	f	std	Z
NL	England_CNE	England_LIA	19	180	684347	0.000456632144803107	0.000264388110767228	1.72712813552019
SE	England_CNE	England_LIA	0	199	908803	0.000431252412357231	0.000211186162198497	2.04204862604535
SE	England_CNE	England_LIA	1	198	875030	0.000446159373174455	0.000219189458587033	2.03549648806354
SE	England_CNE	England_LIA	2	197	860709	0.000453026913660317	0.000223135116299345	2.03028067107359
SE	England_CNE	England_LIA	3	196	849949	0.000456976722282385	0.000225297268287006	2.02832784328412
SE	England_CNE	England_LIA	4	195	839730	0.000456488600746716	0.000228923595818377	1.99406530862325
SE	England_CNE	England_LIA	5	194	830105	0.000462493134450135	0.000232117019684296	1.9924998825126
SE	England_CNE	England_LIA	6	193	820768	0.000472109386714794	0.000234818065057777	2.01053265045273
SE	England_CNE	England_LIA	7	192	811165	0.000483683734157914	0.000238521232910934	2.02784351000955
SE	England_CNE	England_LIA	8	191	801366	0.000487647066970891	0.000241349588235139	2.02050092787311
SE	England_CNE	England_LIA	9	190	791549	0.000497390782593898	0.000244838753624566	2.03150349048335
SE	England_CNE	England_LIA	10	189	781422	0.0005100838909706	0.000249661108350352	2.04310512895262
SE	England_CNE	England_LIA	11	188	770713	0.000509138649492985	0.000252659392355662	2.01511863361202
SE	England_CNE	England_LIA	12	187	760374	0.00051482477069812	0.000252495160699433	2.0389490605365
SE	England_CNE	England_LIA	13	186	750103	0.0005087679648646	0.000252824147184399	2.01233929009766
SE	England_CNE	England_LIA	14	185	739126	0.000515210561884946	0.000254273380293352	2.02620723132934
SE	England_CNE	England_LIA	15	184	728266	0.000513788816556505	0.000252266480029447	2.03669079021728
SE	England_CNE	England_LIA	16	183	717588	0.00051751467054967	0.000257574101261551	2.00918752318256
SE	England_CNE	England_LIA	17	182	706893	0.000513450763210676	0.00026364511777202	1.94750719281163
SE	England_CNE	England_LIA	18	181	696259	0.000508189111387867	0.000265784590080166	1.91203376852882
SE	England_CNE	England_LIA	19	180	685824	0.000522539485753958	0.000265723024820279	1.96648177592957
