Ref	Test1	Test2	Asc_min	Asc_max	Nr_sites	f	std	Z
Russian	England_CNE	England_LIA	8	191	4945368	0.000109800187405714	0.000198895563473061	0.552049454942145
Russian	England_CNE	England_LIA	9	190	4818010	0.00011570322738529	0.000203517703405475	0.568516770036319
Russian	England_CNE	England_LIA	10	189	4696893	0.000117502679922263	0.000207911183324125	0.565158054721285
Russian	England_CNE	England_LIA	11	188	4580567	0.000111098405161479	0.000213412922014845	0.520579560565462
Russian	England_CNE	England_LIA	12	187	4473741	0.000108973301983881	0.000215101123593301	0.506614285241577
Russian	England_CNE	England_LIA	13	186	4374419	0.000104030785686053	0.000216565664853465	0.480366016267831
Russian	England_CNE	England_LIA	14	185	4273861	0.000107859451921724	0.000220020832351809	0.490223815485158
Russian	England_CNE	England_LIA	15	184	4179657	9.27450238212429e-05	0.00022296386869326	0.415964363933943
Russian	England_CNE	England_LIA	16	183	4089974	0.000102445386278127	0.000229303478807171	0.446767693237993
Russian	England_CNE	England_LIA	17	182	4003776	0.000100985346314224	0.000234291228266336	0.431024870463469
Russian	England_CNE	England_LIA	18	181	3921265	0.000108546173687409	0.000236880869198925	0.458231068023715
Russian	England_CNE	England_LIA	19	180	3842409	0.00012083431139552	0.000239957707661467	0.503565034743513
Sardinian	England_CNE	England_LIA	0	199	7305209	-2.71611546576073e-05	0.000159410614958965	-0.17038485589306
Sardinian	England_CNE	England_LIA	1	198	6139284	-3.1652063442564e-05	0.000189668874450226	-0.166880641509107
Sardinian	England_CNE	England_LIA	2	197	5857326	-3.19522860650421e-05	0.000198492852530015	-0.16097449181557
Sardinian	England_CNE	England_LIA	3	196	5648790	-3.29035183918973e-05	0.000205479572693855	-0.160130362159748
Sardinian	England_CNE	England_LIA	4	195	5463415	-3.84165679286772e-05	0.000212054073748167	-0.181164017505743
Sardinian	England_CNE	England_LIA	5	194	5297065	-3.86027954129019e-05	0.000217783920340399	-0.177252734511186
Sardinian	England_CNE	England_LIA	6	193	5149326	-3.83072535141358e-05	0.0002247356330539	-0.170454738278857
Sardinian	England_CNE	England_LIA	7	192	5011660	-3.66948869407841e-05	0.00023096381451418	-0.158877212077441
Sardinian	England_CNE	England_LIA	8	191	4882190	-3.73157970809531e-05	0.000237322777651452	-0.15723647536166
Sardinian	England_CNE	England_LIA	9	190	4764602	-3.23103728853896e-05	0.000242498448920606	-0.133239503300774
Sardinian	England_CNE	England_LIA	10	189	4651284	-3.54396717247484e-05	0.000247198463992125	-0.143365258636386
Sardinian	England_CNE	England_LIA	11	188	4541057	-4.58202281573171e-05	0.000251150976765478	-0.182440971352875
Sardinian	England_CNE	England_LIA	12	187	4440759	-5.62183346968876e-05	0.000253747465089786	-0.221552300737252
Sardinian	England_CNE	England_LIA	13	186	4345808	-6.21022632879752e-05	0.000255722537858223	-0.242850175851164
Sardinian	England_CNE	England_LIA	14	185	4249453	-5.97564886954061e-05	0.000259395748919518	-0.23036803395705
Sardinian	England_CNE	England_LIA	15	184	4158878	-7.14275816446129e-05	0.00026103670547193	-0.273630413452693
Sardinian	England_CNE	England_LIA	16	183	4072558	-7.05499600784572e-05	0.000267721642839214	-0.263519823538613
Sardinian	England_CNE	England_LIA	17	182	3988780	-7.0818201037146e-05	0.000274545338668682	-0.257947198741584
Sardinian	England_CNE	England_LIA	18	181	3908679	-6.09320489613343e-05	0.00027743293654126	-0.219628028744425
Sardinian	England_CNE	England_LIA	19	180	3831629	-4.48919606814836e-05	0.000281432403572188	-0.159512409060489
Tuscan	England_CNE	England_LIA	0	199	5470651	-0.000168402497423444	0.000173689540829528	-0.969560381236349
Tuscan	England_CNE	England_LIA	1	198	5070810	-0.000181022927273542	0.000187532657549291	-0.96528748453299
Tuscan	England_CNE	England_LIA	2	197	4950750	-0.000184736887515759	0.000192126052569725	-0.961540015239295
Tuscan	England_CNE	England_LIA	3	196	4854907	-0.000187864851004018	0.000195984176055788	-0.95857152748159
Tuscan	England_CNE	England_LIA	4	195	4762802	-0.000191372425627411	0.000199484028627216	-0.959337080488968
Tuscan	England_CNE	England_LIA	5	194	4675268	-0.000193086083707434	0.000202169426258571	-0.955070641890633
Tuscan	England_CNE	England_LIA	6	193	4594488	-0.000197236710091794	0.000206820250100575	-0.953662467751004
Tuscan	England_CNE	England_LIA	7	192	4515349	-0.000195108569603256	0.000210591218099595	-0.926480084800989
Tuscan	England_CNE	England_LIA	8	191	4436733	-0.000199884583734593	0.000213951395735641	-0.934252300842994
Tuscan	England_CNE	England_LIA	9	190	4363709	-0.000203428991668066	0.000218586390879693	-0.930657168771456
Tuscan	England_CNE	England_LIA	10	189	4291317	-0.000207294890432223	0.000221306636639226	-0.936686280990998
Tuscan	England_CNE	England_LIA	11	188	4218251	-0.000220087819562236	0.000223854573126734	-0.983173211465439
Tuscan	England_CNE	England_LIA	12	187	4149203	-0.000229234061131519	0.000225577120008514	-1.01621148954675
Tuscan	England_CNE	England_LIA	13	186	4083633	-0.000233355159157066	0.000227175132426482	-1.0272037993973
Tuscan	England_CNE	England_LIA	14	185	4013278	-0.00024115318089667	0.000229978186486666	-1.04859154070533
Tuscan	England_CNE	England_LIA	15	184	3946171	-0.000258838915856718	0.000232130482072561	-1.11505784826574
Tuscan	England_CNE	England_LIA	16	183	3880620	-0.000263420396508204	0.000238058780992834	-1.10653509780063
Tuscan	England_CNE	England_LIA	17	182	3815209	-0.000276201591369671	0.000243202809924545	-1.13568421127767
Tuscan	England_CNE	England_LIA	18	181	3751112	-0.000275077715894461	0.00024629955688558	-1.11684210630655
Tuscan	England_CNE	England_LIA	19	180	3688738	-0.000269596767554107	0.000249766459591731	-1.07939539998601
NL	England_CNE	England_LIA	0	199	11648806	0.000166341607506631	8.17033934353898e-05	2.03592042524124
NL	England_CNE	England_LIA	1	198	7562134	0.000256388518534666	0.000126141481100279	2.03254723425076
NL	England_CNE	England_LIA	2	197	6589294	0.000294859683551074	0.000144561427362678	2.03968436761022
NL	England_CNE	England_LIA	3	196	6080654	0.000315731389923219	0.000155891113631238	2.02533282730973
NL	England_CNE	England_LIA	4	195	5716797	0.000326696477971536	0.000165802673859235	1.97039330167195
NL	England_CNE	England_LIA	5	194	5441380	0.000344541264782267	0.000173888896097066	1.98138738306753
NL	England_CNE	England_LIA	6	193	5223088	0.00035839852456448	0.000181574369004673	1.97383874458215
NL	England_CNE	England_LIA	7	192	5036721	0.000371645368860306	0.0001891972723704	1.96432730876119
NL	England_CNE	England_LIA	8	191	4871350	0.000383737521608196	0.000195612277134575	1.96172513928764
NL	England_CNE	England_LIA	9	190	4727692	0.000399951430314158	0.00020130618029402	1.98678167620092
NL	England_CNE	England_LIA	10	189	4595661	0.000407102320598895	0.000206256937249785	1.97376304538974
NL	England_CNE	England_LIA	11	188	4472233	0.000407120661914382	0.000211548050979336	1.9244831612944
NL	England_CNE	England_LIA	12	187	4361551	0.00040998956618116	0.000213170097941643	1.92329773331248
NL	England_CNE	England_LIA	13	186	4259332	0.00041126481427039	0.000214542083338212	1.91694239130725
NL	England_CNE	England_LIA	14	185	4157128	0.00042028398883161	0.000218367954030683	1.92465964475976
NL	England_CNE	England_LIA	15	184	4062411	0.000412111278272704	0.000220626590119549	1.86791301107177
NL	England_CNE	England_LIA	16	183	3972497	0.000423356716571668	0.000226581683475743	1.86845075064063
NL	England_CNE	England_LIA	17	182	3886863	0.000430032161917617	0.000231553670827845	1.85715976939677
NL	England_CNE	England_LIA	18	181	3805118	0.000442959585555824	0.000234426814021351	1.88954317109595
NL	England_CNE	England_LIA	19	180	3727434	0.000458965287391661	0.000236583327321164	1.93997308512198
SE	England_CNE	England_LIA	0	199	13714964	0.000175651298230791	7.11359632827571e-05	2.46923342462655
SE	England_CNE	England_LIA	1	198	7975389	0.000301644900401088	0.000122572814650213	2.46094455170907
SE	England_CNE	England_LIA	2	197	6860798	0.000351294291799379	0.000142237462833826	2.46977332694545
