Ref1	Ref2	Test1	Test2	Asc_min	Asc_max	Nr_sites	f	std	Z
NL	IBS	HAD002	12884A	3	196	345225	0.000366263612194945	0.000102054468867134	3.58890322257016
NL	IBS	HAD002	12884A	4	195	341204	0.000369422058445974	0.000103130241728179	3.58209243239885
NL	IBS	HAD002	12884A	5	194	337303	0.000372362805489426	0.000104558137256572	3.56129915145385
NL	IBS	HAD002	12884A	6	193	333457	0.000376796975172211	0.000106026892084236	3.55378685317735
NL	IBS	HAD002	12884A	7	192	329609	0.000380155198128692	0.000107350034157517	3.54126760286709
NL	IBS	HAD002	12884A	8	191	325611	0.000384373675397944	0.000108306377189874	3.54894776624364
NL	IBS	HAD002	12884A	9	190	321584	0.000387435529317379	0.000109274846160763	3.54551429655997
NL	IBS	HAD002	12884A	10	189	317387	0.000387948221666294	0.000111002088658087	3.49496326020734
NL	IBS	HAD002	12884A	11	188	313070	0.000390914159740633	0.000111891623792537	3.49368564411436
NL	IBS	HAD002	12884A	12	187	308959	0.000391763986645477	0.000113462695603414	3.45279992302325
NL	IBS	HAD002	12884A	13	186	304830	0.000393799816192632	0.000115526192268353	3.40874920622229
NL	IBS	HAD002	12884A	14	185	300320	0.000395317227157698	0.000116852128919637	3.38305541210612
NL	IBS	HAD002	12884A	15	184	295865	0.000395517370287124	0.000118632175490362	3.33398058875905
NL	IBS	HAD002	12884A	16	183	291528	0.000400879242679948	0.000120936285351874	3.31479705626443
NL	IBS	HAD002	12884A	17	182	287167	0.000405662025789872	0.000122729191454943	3.30534260823189
NL	IBS	HAD002	12884A	18	181	282827	0.000407970979291228	0.00012561212027073	3.24786317126032
NL	IBS	HAD002	12884A	19	180	278558	0.00040731143194595	0.000128120764222134	3.17912115509833
NL	IBS	HAD002	15579A	0	199	63669	0.000522348933075751	0.000155446674895943	3.36030946577284
NL	IBS	HAD002	15579A	1	198	62450	0.000532051909207366	0.000158548356769704	3.35577056771511
NL	IBS	HAD002	15579A	2	197	61642	0.00053910688426722	0.000160632507556689	3.35615058537863
NL	IBS	HAD002	15579A	3	196	60915	0.00054529467717311	0.000162725009702713	3.35101947862425
NL	IBS	HAD002	15579A	4	195	60151	0.000550585930408473	0.000165213960227754	3.33256299679198
NL	IBS	HAD002	15579A	5	194	59450	0.000555754079899075	0.000167088435439399	3.3261073900033
NL	IBS	HAD002	15579A	6	193	58710	0.000560523859989781	0.000169735221213908	3.30234264863263
NL	IBS	HAD002	15579A	7	192	58035	0.000565464133712415	0.000171788813188348	3.29162372809716
NL	IBS	HAD002	15579A	8	191	57312	0.000568233436627583	0.000174084062868818	3.26413243845175
NL	IBS	HAD002	15579A	9	190	56553	0.000568346921295068	0.000176318235051381	3.22341544043613
NL	IBS	HAD002	15579A	10	189	55801	0.000578521182953711	0.000178181150620338	3.24681472164473
NL	IBS	HAD002	15579A	11	188	55038	0.000589514512336931	0.000179166421278883	3.29031806366952
NL	IBS	HAD002	15579A	12	187	54260	0.000596443592517508	0.000181380420859263	3.28835708778238
NL	IBS	HAD002	15579A	13	186	53544	0.000599703016771253	0.000184162092140152	3.25638685900062
NL	IBS	HAD002	15579A	14	185	52736	0.00059504715791869	0.000188161531980747	3.16242725946543
NL	IBS	HAD002	15579A	15	184	51929	0.000602391323152766	0.000189887773347025	3.17235445197348
NL	IBS	HAD002	15579A	16	183	51145	0.000609666796754326	0.000193913802227265	3.14400929563437
NL	IBS	HAD002	15579A	17	182	50380	0.000619160685192536	0.000197674117400372	3.13222941543976
NL	IBS	HAD002	15579A	18	181	49623	0.000616926185841243	0.000200556541966169	3.0760711158717
NL	IBS	HAD002	15579A	19	180	48860	0.000622805774048301	0.000201671279804219	3.0882224511736
NL	IBS	HAD002	6DT18	0	199	45706	0.000437217205837308	0.000180262418345749	2.42544846479709
NL	IBS	HAD002	6DT18	1	198	44855	0.000445556874818861	0.000183878371442854	2.42310648785212
NL	IBS	HAD002	6DT18	2	197	44262	0.000451938058153721	0.000186675152238822	2.42098668587416
NL	IBS	HAD002	6DT18	3	196	43751	0.000455930289136248	0.000188653173725485	2.41676447913718
NL	IBS	HAD002	6DT18	4	195	43214	0.000461312986069329	0.000191483156636807	2.40915699412831
NL	IBS	HAD002	6DT18	5	194	42683	0.000465450674038844	0.000193172783420077	2.40950441256866
NL	IBS	HAD002	6DT18	6	193	42153	0.000471221521837117	0.000195252273011605	2.413398392597
NL	IBS	HAD002	6DT18	7	192	41647	0.000472593879751243	0.00019735333872518	2.39465865033751
NL	IBS	HAD002	6DT18	8	191	41147	0.000474406800738814	0.000198671734343103	2.38789278357797
NL	IBS	HAD002	6DT18	9	190	40638	0.000476092232147252	0.000202700129184603	2.34875149839527
NL	IBS	HAD002	6DT18	10	189	40088	0.00048134147924566	0.000205433246515092	2.34305540807533
NL	IBS	HAD002	6DT18	11	188	39556	0.000486906924360401	0.00020824722068989	2.33811967692705
NL	IBS	HAD002	6DT18	12	187	39026	0.000495250074309434	0.000211945991681979	2.33668054007149
NL	IBS	HAD002	6DT18	13	186	38477	0.000501042077085011	0.000213568807452665	2.34604520698118
NL	IBS	HAD002	6DT18	14	185	37897	0.000505398458980922	0.000215807677559282	2.34189285894192
NL	IBS	HAD002	6DT18	15	184	37322	0.00051274878087991	0.000221674058724151	2.31307525937425
NL	IBS	HAD002	6DT18	16	183	36775	0.0005208950210741	0.000225386466500408	2.3111193372081
NL	IBS	HAD002	6DT18	17	182	36219	0.000551326787045473	0.000226108490258283	2.43832854934238
NL	IBS	HAD002	6DT18	18	181	35689	0.000567770671635518	0.000233287978496341	2.43377595063015
NL	IBS	HAD002	6DT18	19	180	35148	0.000564386471491977	0.000235803421183171	2.39346176005463
NL	IBS	HAD002	6DT21	0	199	54481	0.000266592994438428	0.000148485911701916	1.79540935151889
NL	IBS	HAD002	6DT21	1	198	53446	0.000271770620813531	0.000151478648236364	1.79411833930196
NL	IBS	HAD002	6DT21	2	197	52766	0.00027503740723193	0.000153602308269129	1.7905812115143
NL	IBS	HAD002	6DT21	3	196	52116	0.00027789092927316	0.000155526136991758	1.78677960276147
NL	IBS	HAD002	6DT21	4	195	51502	0.000281168354238671	0.000157305676068861	1.78740120042196
NL	IBS	HAD002	6DT21	5	194	50912	0.000283963067056882	0.000159776974859319	1.77724648565231
NL	IBS	HAD002	6DT21	6	193	50296	0.000288071890011134	0.000161335668621807	1.78554372056693
NL	IBS	HAD002	6DT21	7	192	49656	0.000291015338730465	0.000163002587879191	1.78534183117479
NL	IBS	HAD002	6DT21	8	191	49046	0.000294896469844636	0.000164592051678488	1.79168110997658
NL	IBS	HAD002	6DT21	9	190	48427	0.000301167096660953	0.000166232855879197	1.81171823745731
NL	IBS	HAD002	6DT21	10	189	47766	0.000307211024368798	0.000168922501571487	1.81865069194933
NL	IBS	HAD002	6DT21	11	188	47092	0.000312821402786036	0.000172797313685238	1.81033718704599
NL	IBS	HAD002	6DT21	12	187	46510	0.000308786547409159	0.000175651917172403	1.75794578493603
NL	IBS	HAD002	6DT21	13	186	45876	0.000295808460197053	0.00018035482300368	1.6401472124259
NL	IBS	HAD002	6DT21	14	185	45184	0.000298987133055948	0.000181996261498083	1.64282019089221
NL	IBS	HAD002	6DT21	15	184	44515	0.00030563967022352	0.000185074939730651	1.65143736190503
NL	IBS	HAD002	6DT21	16	183	43836	0.000306805881467287	0.000190063596119524	1.61422748875249
NL	IBS	HAD002	6DT21	17	182	43154	0.000313726410529732	0.000192000030840269	1.63399145904685
NL	IBS	HAD002	6DT21	18	181	42525	0.000317272372016462	0.000194557698037147	1.63073666689809
