Ref1	Ref2	Test1	Test2	Asc_min	Asc_max	Nr_sites	f	std	Z
FIN	IBS	EAS001	6DT21	1	198	287983	-5.06792138077597e-05	8.34974432279034e-05	-0.60695527729433
FIN	IBS	EAS001	6DT21	2	197	270847	-5.42815662717329e-05	8.88286166885915e-05	-0.611081972176027
FIN	IBS	EAS001	6DT21	3	196	256085	-5.73968659624735e-05	9.43641516869761e-05	-0.608248629764297
FIN	IBS	EAS001	6DT21	4	195	243125	-6.18495817377891e-05	9.88438521815001e-05	-0.625730183241129
FIN	IBS	EAS001	6DT21	5	194	232221	-6.69558527006599e-05	0.000103361559522127	-0.647782918622922
FIN	IBS	EAS001	6DT21	6	193	223122	-7.38299570638485e-05	0.000107484582017265	-0.686888813988127
FIN	IBS	EAS001	6DT21	7	192	215251	-8.13777016599225e-05	0.000110795322696411	-0.734486796729717
FIN	IBS	EAS001	6DT21	8	191	208041	-8.81553576939162e-05	0.000115479037938018	-0.763388397305777
FIN	IBS	EAS001	6DT21	9	190	201894	-9.84939841699112e-05	0.000118008291391091	-0.834636134536447
FIN	IBS	EAS001	6DT21	10	189	196287	-0.000102119391146637	0.000119144056050765	-0.857108566986555
FIN	IBS	EAS001	6DT21	11	188	190991	-0.000105967790733595	0.000121801259416203	-0.870005706357242
FIN	IBS	EAS001	6DT21	12	187	186337	-0.000112735567493305	0.00012456212559347	-0.905054943115189
FIN	IBS	EAS001	6DT21	13	186	181941	-0.000113683705816721	0.000127813056396387	-0.889452995037953
FIN	IBS	EAS001	6DT21	14	185	177498	-0.000118639350978603	0.000132086356176054	-0.898195350475656
FIN	IBS	EAS001	6DT21	15	184	173486	-0.00011268651931568	0.000136381785861123	-0.826257836441799
FIN	IBS	EAS001	6DT21	16	183	169766	-0.000121663085246752	0.000136363820417849	-0.892194754253358
FIN	IBS	EAS001	6DT21	17	182	166124	-0.000132621866376923	0.000136562007626041	-0.971147603073415
FIN	IBS	EAS001	6DT21	18	181	162652	-0.000130868532388166	0.000140511490126761	-0.931372461213704
FIN	IBS	EAS001	6DT21	19	180	159399	-0.000123340387518115	0.000144016251816606	-0.856433811894924
FIN	IBS	EAS001	6DT22	0	199	277392	0.000123656631049201	0.000133718934419053	0.924750347334373
FIN	IBS	EAS001	6DT22	1	198	267463	0.000128444306016159	0.000138608660125425	0.926668693716048
FIN	IBS	EAS001	6DT22	2	197	251665	0.000137155647666541	0.000146952608805178	0.933332512989783
FIN	IBS	EAS001	6DT22	3	196	237964	0.000144571990217008	0.000154861078679091	0.933559235478369
FIN	IBS	EAS001	6DT22	4	195	225951	0.000150865572933954	0.0001638109732486	0.920973546167755
FIN	IBS	EAS001	6DT22	5	194	215786	0.000152422038686476	0.000171713044875758	0.887655558124663
FIN	IBS	EAS001	6DT22	6	193	207274	0.000153491215058328	0.000179178262112823	0.856639713146003
FIN	IBS	EAS001	6DT22	7	192	200032	0.000163026120420733	0.000184109226680706	0.885485879007373
FIN	IBS	EAS001	6DT22	8	191	193546	0.000164179558451221	0.000190907686406075	0.859994490227067
FIN	IBS	EAS001	6DT22	9	190	187879	0.000173601021774653	0.000195585872260865	0.887594895111392
FIN	IBS	EAS001	6DT22	10	189	182610	0.000179886034883084	0.000200999417438227	0.894957991300491
FIN	IBS	EAS001	6DT22	11	188	177790	0.000186196424827043	0.000205358384092256	0.90669015365545
FIN	IBS	EAS001	6DT22	12	187	173436	0.000191348740976499	0.000207715028386257	0.921207976442973
FIN	IBS	EAS001	6DT22	13	186	169383	0.000198012353778124	0.000211645895298049	0.935583246248526
FIN	IBS	EAS001	6DT22	14	185	165194	0.000200160910565758	0.000216979306204636	0.922488480892201
FIN	IBS	EAS001	6DT22	15	184	161528	0.000208681020380368	0.000221275980859626	0.943080308896027
FIN	IBS	EAS001	6DT22	16	183	157983	0.000219645558699354	0.000222312284081563	0.988004597257293
FIN	IBS	EAS001	6DT22	17	182	154634	0.000232536579924208	0.000222703719754501	1.04415220446496
FIN	IBS	EAS001	6DT22	18	181	151395	0.000231603956537534	0.000228700018663974	1.01269758476857
FIN	IBS	EAS001	6DT22	19	180	148317	0.000234032129155795	0.000231964739028011	1.00891251893045
FIN	IBS	EAS001	6DT23	0	199	90030	4.42319170276571e-05	0.000137691302265205	0.321239731921939
FIN	IBS	EAS001	6DT23	1	198	86689	4.56562748445594e-05	0.000142972962631644	0.319335026736406
FIN	IBS	EAS001	6DT23	2	197	81491	4.9154507246199e-05	0.000152186921783893	0.322987722401001
FIN	IBS	EAS001	6DT23	3	196	77117	5.31860811494221e-05	0.000159947076771474	0.332522995874518
FIN	IBS	EAS001	6DT23	4	195	73211	5.5205443854066e-05	0.000167611023910256	0.329366425704939
FIN	IBS	EAS001	6DT23	5	194	70053	5.84100763707479e-05	0.00017587331655976	0.332114487366824
FIN	IBS	EAS001	6DT23	6	193	67306	6.61711073306987e-05	0.000182782734291014	0.362020557288227
FIN	IBS	EAS001	6DT23	7	192	65120	6.5019949938575e-05	0.000189810427417319	0.342552044285858
FIN	IBS	EAS001	6DT23	8	191	63044	7.78455875261719e-05	0.000194767456740505	0.399684777061541
FIN	IBS	EAS001	6DT23	9	190	61176	9.99491519550153e-05	0.000200038859179482	0.499648680086389
FIN	IBS	EAS001	6DT23	10	189	59547	0.000113638060019817	0.000206531403345735	0.55022170081121
FIN	IBS	EAS001	6DT23	11	188	57984	0.000115501753414735	0.000210461638578391	0.548801929866732
FIN	IBS	EAS001	6DT23	12	187	56633	0.000133478750551798	0.000217291931596227	0.614283050324341
FIN	IBS	EAS001	6DT23	13	186	55327	0.00013283235888445	0.000224185581193011	0.592510714460664
FIN	IBS	EAS001	6DT23	14	185	53953	0.00013784416288251	0.000233684802692178	0.589872175231204
FIN	IBS	EAS001	6DT23	15	184	52756	0.000146599612366366	0.00023788470294339	0.616263301307155
FIN	IBS	EAS001	6DT23	16	183	51617	0.000142028431524498	0.000237437644743325	0.598171497523206
FIN	IBS	EAS001	6DT23	17	182	50591	0.000157182416833034	0.000240666876427313	0.653111966076922
FIN	IBS	EAS001	6DT23	18	181	49544	0.000159437131640563	0.000243641272300458	0.654392952947417
FIN	IBS	EAS001	6DT23	19	180	48540	0.000168747085908529	0.000252154670466135	0.669220544662457
FIN	IBS	ELY005	12880A	0	199	529799	0.000368092297569456	9.75092974580716e-05	3.77494564277559
FIN	IBS	ELY005	12880A	1	198	510590	0.000381959335866351	0.000101131622031387	3.77685365065942
FIN	IBS	ELY005	12880A	2	197	480557	0.00040581416595742	0.000107278605803751	3.78280611420129
FIN	IBS	ELY005	12880A	3	196	454589	0.000427136645629348	0.000113691072396319	3.75699372542093
FIN	IBS	ELY005	12880A	4	195	431416	0.000449211957298755	0.000119636004350292	3.75482246952573
FIN	IBS	ELY005	12880A	5	194	411879	0.000469582285598441	0.000124965412536009	3.75769803875236
FIN	IBS	ELY005	12880A	6	193	395681	0.000486389661166444	0.000130332676526839	3.73190879008983
FIN	IBS	ELY005	12880A	7	192	381888	0.000501057906585177	0.000134048591632785	3.73788266241382
FIN	IBS	ELY005	12880A	8	191	369378	0.000518310279388594	0.000138357036394696	3.74617939856699
FIN	IBS	ELY005	12880A	9	190	358384	0.000522745720595785	0.000142489295785801	3.6686666020275
FIN	IBS	ELY005	12880A	10	189	348238	0.00053299527469719	0.000147252592858431	3.61959857107313
FIN	IBS	ELY005	12880A	11	188	338792	0.00054587507193204	0.00015237211950755	3.58251282253111
FIN	IBS	ELY005	12880A	12	187	330204	0.000552202409025935	0.000155942616943665	3.5410615766787
FIN	IBS	ELY005	12880A	13	186	322438	0.000562595964774623	0.000157962413588443	3.56158121412614
