Ref1	Ref2	Test1	Test2	Asc_min	Asc_max	Nr_sites	f	std	Z
NL	IBS	HAD005	12880A	18	181	252243	0.000476110280245636	0.000139707701273852	3.40790289944271
NL	IBS	HAD005	12880A	19	180	247130	0.000482537662606725	0.0001422513567694	3.39214805092477
NL	IBS	HAD005	12884A	0	199	3231535	0.000294187616095756	6.2168586812287e-05	4.73209431290487
NL	IBS	HAD005	12884A	1	198	2778621	0.00034146874907733	7.23416260188637e-05	4.72022496409314
NL	IBS	HAD005	12884A	2	197	2520584	0.000374614460121147	7.97658204642812e-05	4.69642834412889
NL	IBS	HAD005	12884A	3	196	2351879	0.000398956148581624	8.53683642205673e-05	4.67334887137858
NL	IBS	HAD005	12884A	4	195	2219226	0.000419825690812923	9.05157269365946e-05	4.63815189936007
NL	IBS	HAD005	12884A	5	194	2114914	0.000437068609678691	9.49611378378953e-05	4.60260501959017
NL	IBS	HAD005	12884A	6	193	2030458	0.000451224404385612	9.87477145617524e-05	4.56946681134009
NL	IBS	HAD005	12884A	7	192	1957683	0.000463010393102458	0.000102277583753473	4.52699776539975
NL	IBS	HAD005	12884A	8	191	1893372	0.000474237213595638	0.000105547462776581	4.49311808280496
NL	IBS	HAD005	12884A	9	190	1837267	0.000487046539120335	0.000108495162590134	4.48910833896133
NL	IBS	HAD005	12884A	10	189	1785417	0.000497436415459245	0.000111007470167085	4.48110757510752
NL	IBS	HAD005	12884A	11	188	1737247	0.000502774368929692	0.000112645889286827	4.46331749975795
NL	IBS	HAD005	12884A	12	187	1694004	0.000510924144517959	0.000115233977930683	4.43379768444077
NL	IBS	HAD005	12884A	13	186	1654352	0.000516765734910104	0.000117412166168162	4.40129632026356
NL	IBS	HAD005	12884A	14	185	1614270	0.000522495082507883	0.000119979790952483	4.35485908385034
NL	IBS	HAD005	12884A	15	184	1577354	0.000530844728348868	0.000121446053318869	4.37103317762894
NL	IBS	HAD005	12884A	16	183	1542263	0.000540881571333813	0.000124673643238582	4.33837944639793
NL	IBS	HAD005	12884A	17	182	1508576	0.000553844929993584	0.000127636911747699	4.33922227050099
NL	IBS	HAD005	12884A	18	181	1476728	0.000560295236224952	0.000130844678676221	4.28214002964095
NL	IBS	HAD005	12884A	19	180	1446452	0.000564234661917575	0.000132728671640387	4.2510382643345
NL	IBS	HAD005	15579A	0	199	479809	0.000280516925589141	5.56952754954258e-05	5.0366377236464
NL	IBS	HAD005	15579A	1	198	410875	0.000325795834207484	6.51225760472931e-05	5.00280937859223
NL	IBS	HAD005	15579A	2	197	371733	0.000358229149147372	7.17744383895049e-05	4.99104078256018
NL	IBS	HAD005	15579A	3	196	346012	0.000382734538253009	7.70931174672856e-05	4.96457467056539
NL	IBS	HAD005	15579A	4	195	325909	0.000402174466983115	8.16156885111023e-05	4.9276612661107
NL	IBS	HAD005	15579A	5	194	310040	0.000418166119274932	8.61990369668892e-05	4.8511692704358
NL	IBS	HAD005	15579A	6	193	297426	0.000430678285388635	9.02131114925921e-05	4.77400987797655
NL	IBS	HAD005	15579A	7	192	286439	0.00044404145158306	9.45269070609141e-05	4.69751381262179
NL	IBS	HAD005	15579A	8	191	276819	0.000451034859745899	9.8458516040139e-05	4.58096341368809
NL	IBS	HAD005	15579A	9	190	268353	0.000461012462987185	0.000101372999769514	4.5476849263153
NL	IBS	HAD005	15579A	10	189	260661	0.000471026593391417	0.000103523049850376	4.54996828312343
NL	IBS	HAD005	15579A	11	188	253409	0.000483246101795911	0.000105826781964333	4.56638757057529
NL	IBS	HAD005	15579A	12	187	246789	0.000494709374445377	0.000108296989544616	4.56808057662181
NL	IBS	HAD005	15579A	13	186	240684	0.000498506584151834	0.000111737903023448	4.46139197768211
NL	IBS	HAD005	15579A	14	185	234691	0.000506745550021092	0.000114791726414974	4.41447799285812
NL	IBS	HAD005	15579A	15	184	229218	0.000508617668682215	0.000118574210411983	4.28944596734007
NL	IBS	HAD005	15579A	16	183	224010	0.000519302063122182	0.000120572765168961	4.30695988762034
NL	IBS	HAD005	15579A	17	182	218986	0.000528190781876467	0.000124790101701317	4.23263363580457
NL	IBS	HAD005	15579A	18	181	214332	0.000531073613646119	0.00012762704013105	4.16113711562065
NL	IBS	HAD005	15579A	19	180	209964	0.00053258688137014	0.000130012014965492	4.09644355955487
NL	IBS	HAD005	6DT18	0	199	396643	0.000405423481518645	8.92225415560923e-05	4.54395800038675
NL	IBS	HAD005	6DT18	1	198	340618	0.00047113479319942	0.00010398425744457	4.53082807703431
NL	IBS	HAD005	6DT18	2	197	308463	0.000519129838684056	0.000114972842760041	4.51523878354063
